Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS
2015-01-01,303.24102783203125,695.7552490234375,486.8747863769531,127.96600341796875,339.6642761230469,310.6489562988281,309.83221435546875,440.34344482421875,649.7763061523438,291.4945983886719,764.6309814453125,379.88031005859375,182.25204467773438,92.81007385253906,625.5151977539062,856.3053588867188,558.096923828125,3038.00439453125,553.8662719726562,77.33781433105469,50.047523498535156,187.5419921875,285.50042724609375,760.3250122070312,489.917236328125,13.854479789733887,1049.376953125,505.0888977050781,359.5572509765625,2564.179443359375
2015-01-02,303.05126953125,719.80908203125,497.76300048828125,126.87689208984375,334.2340393066406,312.4894714355469,309.5332946777344,446.47186279296875,647.6343383789062,299.76861572265625,768.3035888671875,387.34552001953125,182.82289123535156,93.09307861328125,631.9512329101562,874.3663940429688,552.5026245117188,3055.146240234375,555.054443359375,78.39649200439453,50.64985275268555,187.04563903808594,286.636962890625,764.0701293945312,503.0386657714844,14.070286750793457,1063.3515625,507.56121826171875,362.3973693847656,2640.840087890625
2015-01-05,307.274169921875,719.7627563476562,500.9084777832031,125.19104766845703,333.360595703125,305.55572509765625,304.3269348144531,442.7023010253906,651.3611450195312,300.38909912109375,771.3168334960938,384.0169677734375,183.54269409179688,92.87105560302734,629.41650390625,886.5306396484375,549.70556640625,3135.353515625,555.3524169921875,78.1793441772461,50.70460510253906,184.996826171875,284.3638916015625,764.5326538085938,514.8333129882812,14.274104118347168,1047.1920166015625,499.0929260253906,365.3321838378906,2646.2333984375
2015-01-06,305.4237060546875,702.5811767578125,483.00335693359375,122.29673767089844,332.496826171875,303.1588439941406,296.1994323730469,435.81072998046875,663.6976928710938,287.64715576171875,751.8244018554688,375.9937744140625,178.826904296875,89.48394012451172,621.9119262695312,856.9605712890625,546.6376953125,3087.5654296875,547.629150390625,75.5733642578125,49.57297134399414,176.60081481933594,272.6802062988281,747.7022705078125,492.8167419433594,13.58215045928955,1008.5859985351562,493.73944091796875,352.8356628417969,2571.980712890625
2015-01-07,304.71197509765625,716.697998046875,482.6162414550781,122.19230651855469,339.2663879394531,303.8865051269531,289.161376953125,437.08270263671875,687.0004272460938,279.86956787109375,745.750732421875,377.7927551269531,175.5010223388672,88.10384368896484,631.9263916015625,854.9093627929688,552.277099609375,3126.213623046875,549.9215087890625,77.39212036132812,50.28480911254883,180.4450225830078,272.907470703125,748.8582153320312,485.3959655761719,13.321810722351074,996.6718139648438,491.4326171875,354.63446044921875,2561.8203125
2015-01-08,317.47552490234375,761.88037109375,485.8101501464844,128.28427124023438,338.6889343261719,309.1510314941406,295.8523864746094,446.26373291015625,699.9796752929688,287.4816589355469,752.1068725585938,379.6974792480469,179.89413452148438,88.996337890625,666.2935180664062,860.3505859375,558.3450317382812,3160.54296875,552.3322143554688,78.69511413574219,50.50384521484375,177.85757446289062,277.180908203125,757.1808471679688,503.2352600097656,13.529056549072266,1007.4313354492188,499.6574401855469,353.0250549316406,2626.731201171875
2015-01-09,314.2490539550781,754.5899658203125,479.0351867675781,127.22998809814453,334.8455810546875,304.5713195800781,298.0216064453125,451.2589416503906,740.716552734375,282.8482360839844,755.2142944335938,399.1302185058594,177.16397094726562,88.19962310791016,676.3822631835938,854.7670288085938,558.6157836914062,3153.904541015625,559.8627319335938,76.14340209960938,50.54033279418945,181.71234130859375,275.6806640625,767.584228515625,513.3589477539062,13.690055847167969,1035.669921875,521.791748046875,353.0250549316406,2628.561279296875
2015-01-12,311.6868591308594,750.1785888671875,485.4229736328125,126.08617401123047,333.6954650878906,298.70758056640625,303.8063659667969,447.28125,768.1314086914062,286.7369689941406,781.06298828125,407.11492919921875,177.6355438232422,87.13298034667969,681.377197265625,874.110107421875,556.2698364257812,3149.08447265625,566.5603637695312,76.0076904296875,49.82849884033203,179.60012817382812,279.22674560546875,772.439208984375,513.3589477539062,13.590716361999512,1034.597900390625,536.12939453125,356.7171630859375,2600.583984375
2015-01-13,306.5150146484375,774.4183349609375,488.27813720703125,127.95106506347656,338.04351806640625,296.43914794921875,305.3585510253906,445.56988525390625,757.80810546875,282.0621032714844,777.343505859375,401.91046142578125,178.75244140625,86.5017318725586,692.2861328125,865.7347412109375,563.3980712890625,3153.94970703125,588.6434936523438,75.43762969970703,49.59122848510742,178.08993530273438,277.4082336425781,770.4047241210938,510.5577392578125,13.410876274108887,1029.7337646484375,537.51171875,352.3623962402344,2714.419189453125
2015-01-14,314.3439025878906,782.5910034179688,483.5357360839844,124.74346160888672,366.28173828125,296.0110778808594,304.4330749511719,445.8243103027344,791.6483154296875,278.75262451171875,769.0098266601562,409.5583801269531,172.64674377441406,84.30751037597656,691.4163818359375,864.8800659179688,558.0518188476562,3197.372802734375,594.5343627929688,74.7861099243164,49.66423797607422,176.35791015625,277.0445251464844,758.8917846679688,511.4423522949219,12.909037590026855,1039.648193359375,543.4393920898438,351.79437255859375,2801.432373046875
2015-01-15,313.72705078125,779.5261840820312,497.52099609375,128.2096710205078,374.65277099609375,299.0499267578125,307.2193908691406,459.3530578613281,789.506591796875,291.9496765136719,781.9104614257812,410.6358337402344,177.6603546142578,84.54261779785156,695.9888305664062,896.6151123046875,576.61669921875,3297.222412109375,596.92333984375,75.5733642578125,52.183040618896484,182.54666137695312,291.2286071777344,763.7465209960938,523.82666015625,13.179656028747559,1046.7178955078125,541.5413208007812,355.8651428222656,2969.199462890625
2015-01-16,313.96435546875,783.3340454101562,498.24700927734375,126.08121490478516,382.18426513671875,293.4858703613281,316.04119873046875,463.1457214355469,806.2125854492188,292.7770690917969,783.3230590820312,407.56707763671875,178.75244140625,85.36978912353516,693.4789428710938,906.8990478515625,588.572265625,3288.85595703125,612.3612670898438,76.22486114501953,53.789222717285156,183.6978302001953,286.8188171386719,785.8017578125,516.7499389648438,13.133411407470703,1043.8526611328125,548.3841552734375,366.5628662109375,2956.727783203125
2015-01-19,311.5919189453125,772.6072387695312,511.9419860839844,125.11643981933594,378.6853942871094,299.9915466308594,317.1305847167969,464.62579345703125,764.6618041992188,298.52752685546875,780.7807006835938,404.52703857421875,178.1071319580078,85.0389175415039,690.5466918945312,920.0603637695312,601.0240478515625,3297.631591796875,620.1414794921875,76.95777893066406,53.97175598144531,185.79945373535156,284.7275695800781,798.0546875,529.2816162109375,13.179656028747559,1035.134033203125,545.133056640625,373.4737854003906,2974.448486328125
2015-01-20,313.63226318359375,779.3869018554688,533.6701049804688,131.48193359375,378.9765625,303.8009033203125,322.4333190917969,472.2111511230469,767.1461791992188,304.2779846191406,791.42138671875,408.7022399902344,184.21279907226562,87.51610565185547,693.6529541015625,928.4357299804688,597.888427734375,3278.807373046875,620.1898803710938,77.55498504638672,53.8074951171875,190.7419891357422,289.2737731933594,806.65478515625,549.6273193359375,13.770554542541504,1030.78466796875,545.4347534179688,372.6217956542969,2982.104736328125
2015-01-21,312.5408935546875,790.6245727539062,529.6536254882812,128.56771850585938,370.498779296875,315.87078857421875,325.3450012207031,471.74859619140625,806.9835205078125,304.857177734375,793.3988037109375,417.4950866699219,175.0791015625,87.06769561767578,689.900634765625,942.679443359375,597.79833984375,3305.315673828125,620.671875,77.90787506103516,53.624977111816406,191.5234832763672,296.5931396484375,819.2774047851562,542.05908203125,13.602705001831055,1036.288330078125,544.4031372070312,385.2602233886719,2941.9931640625
2015-01-22,312.58831787109375,805.3448486328125,546.5908813476562,129.1197509765625,372.75531005859375,316.72674560546875,321.189697265625,472.34991455078125,809.2965087890625,305.97418212890625,796.8829956054688,422.6033020019531,174.06150817871094,86.48430633544922,689.652099609375,947.6647338867188,600.0089721679688,3271.259521484375,622.166748046875,76.11626434326172,54.1542854309082,186.66543579101562,295.18377685546875,850.8113403320312,556.8023071289062,13.818511009216309,1036.1854248046875,536.9275512695312,378.4439392089844,3007.144775390625
2015-01-23,329.1952209472656,800.6548461914062,546.97802734375,130.51217651367188,375.61846923828125,328.7966003417969,317.51629638671875,482.31719970703125,826.9879150390625,306.7187805175781,807.3355102539062,426.1820373535156,173.4658203125,88.40422058105469,688.4843139648438,975.0127563476562,614.4232177734375,3279.852783203125,636.3070068359375,77.03921508789062,54.592323303222656,187.3307647705078,297.72967529296875,857.0532836914062,578.3765869140625,13.808234214782715,1032.0831298828125,541.3369140625,377.59197998046875,3031.65478515625
2015-01-27,327.5345153808594,827.0305786132812,573.0614624023438,136.79812622070312,404.6767883300781,337.4423522949219,311.67364501953125,496.77105712890625,806.9835205078125,317.30963134765625,812.8912963867188,411.06878662109375,178.7772979736328,88.50873565673828,689.9998779296875,992.5040283203125,597.527587890625,3353.6943359375,644.345947265625,77.71785736083984,54.73834991455078,187.784912109375,300.0936584472656,845.2166137695312,594.200927734375,13.647235870361328,1033.5084228515625,548.32568359375,379.2960205078125,3006.181640625
2015-01-28,321.9356384277344,845.373046875,571.6096801757812,144.25762939453125,419.5310974121094,319.8084411621094,319.9748229980469,489.50946044921875,800.0441284179688,317.76470947265625,818.0704956054688,412.61767578125,179.8445281982422,86.64102172851562,671.5118408203125,967.6345825195312,593.8506469726562,3388.159912109375,640.313232421875,77.55498504638672,54.55582809448242,191.54461669921875,304.230712890625,841.2864379882812,579.1137084960938,13.398886680603027,1049.01904296875,559.3636474609375,410.1584777832031,3023.8056640625
