CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,103,1,1,-,"2,466.75",-63.25,150,"2,474.50","2,570.60",150,"22,250.00","18,76,275",0.60,0.65,"39,750",-0.35,0.65,29.96,"2,89,330","30,293","54,914",
,53,2,4,59.85,"2,556.25",17.55,150,"2,422.55","2,509.60",150,"22,300.00","6,750",0.70,0.75,"1,39,950",-0.25,0.75,29.80,"1,23,622","13,398","34,816",
,7,-,-,-,"2,534.35",0.45,750,"2,373.70","2,479.60",750,"22,350.00","46,800",0.70,0.75,"3,300",-0.30,0.70,29.03,"20,118",-649,"5,931",
,11,-,-,-,"2,410.00",-,750,"2,319.65","2,432.95",750,"22,400.00",975,0.75,0.80,"27,375",-0.25,0.75,28.66,"23,588","1,289","6,793",
,6,-1,2,57.83,"2,410.85",-,150,"2,279.65","2,367.10",150,"22,450.00","5,700",0.80,0.85,"3,000",-0.40,0.85,28.44,"7,507","1,239","1,588",
,138,-1,20,23.80,"2,287.80",-68.25,150,"2,257.55","2,281.25",150,"22,500.00",675,0.95,1.00,"3,825",-0.30,1.00,28.33,"74,293",560,"16,291",
,10,-,-,-,"2,289.50",-,750,"2,172.45","2,279.60",750,"22,550.00",900,0.90,1.00,"6,525",-0.45,0.90,27.44,"5,151",382,577,
,23,-,-,-,"2,244.50",-,750,"2,123.95","2,229.65",750,"22,600.00","11,175",0.95,1.10,"17,250",-0.25,1.10,27.43,"13,494",670,"2,671",
,8,-,-,-,"2,202.45",-,750,"2,067.80","2,187.80",750,"22,650.00",150,1.00,1.25,600,-0.45,0.95,26.43,"5,979",73,330,
,51,-,-,-,"2,083.50",-,750,"2,013.10","2,129.95",750,"22,700.00",150,1.05,1.20,375,-0.20,1.20,26.50,"13,515","1,138","3,342",
,29,-,2,39.43,"2,060.00",10.00,750,"1,979.05","2,080.00",750,"22,750.00","3,600",1.00,1.15,225,-0.30,1.20,25.91,"9,825",214,685,
